"","ARG_RGDP_EXT","AUS_RGDP_EXT","AUT_RGDP_EXT","BEL_RGDP_EXT","BRA_RGDP_EXT","BUL_RGDP_EXT","CAN_RGDP_EXT","CHE_RGDP_EXT","CHL_RGDP_EXT","CHN_RGDP_EXT","COL_RGDP_EXT","CRO_RGDP_EXT","CZE_RGDP_EXT","DEN_RGDP_EXT","DEU_RGDP_EXT","ESP_RGDP_EXT","EUR_RGDP_EXT","FIN_RGDP_EXT","FRA_RGDP_EXT","GBR_RGDP_EXT","GRE_RGDP_EXT","HKG_RGDP_EXT","HUN_RGDP_EXT","ICE_RGDP_EXT","IDN_RGDP_EXT","IND_RGDP_EXT","IRE_RGDP_EXT","ISE_RGDP_EXT","ITA_RGDP_EXT","JPN_RGDP_EXT","KOR_RGDP_EXT","MAL_RGDP_EXT","MEX_RGDP_EXT","NLD_RGDP_EXT","NOR_RGDP_EXT","NZD_RGDP_EXT","PER_RGDP_EXT","PHP_RGDP_EXT","POL_RGDP_EXT","POR_RGDP_EXT","ROM_RGDP_EXT","RUS_RGDP_EXT","SAF_RGDP_EXT","SAR_RGDP_EXT","SGP_RGDP_EXT","SWE_RGDP_EXT","TAW_RGDP_EXT","THA_RGDP_EXT","TUR_RGDP_EXT","URU_RGDP_EXT","USA_RGDP_EXT","VTN_RGDP_EXT"
"1951-01-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1.14830247145715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.19127377998346,NA

"1951-02-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1.14830247145715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.19127377998346,NA

"1951-03-01",1.01476542850991,1.0063585765683,NA,1.00940427561605,1.01225000878969,NA,1.01092619712501,1.02025542417945,NA,NA,1.00588148835455,NA,NA,NA,1.02425860356983,1.0420729949162,1.01978008653632,NA,1.14830247145715,1.01067002346594,NA,NA,NA,NA,NA,1.0047040128908,1.00854176040341,NA,1.02185837548867,1.02236650200123,NA,NA,1.02414778354727,1.00614969281175,1.00554313435214,0.99527666795186,1.02046892195573,1.02631579461655,NA,1.02303060147037,NA,NA,1.01136364728502,NA,NA,NA,NA,0.988388908580684,1.05894698077952,1.03879585474145,1.19127377998346,NA

"1951-04-01",1.01476542850991,1.0063585765683,NA,1.00940427561605,1.01225000878969,NA,1.01092619712501,1.02025542417945,NA,NA,1.00588148835455,NA,NA,NA,1.02425860356983,1.0420729949162,1.01978008653632,NA,1.15720753922291,1.01067002346594,NA,NA,NA,NA,NA,1.0047040128908,1.00854176040341,NA,1.02185837548867,1.02236650200123,NA,NA,1.02414778354727,1.00614969281175,1.00554313435214,0.99527666795186,1.02046892195573,1.02631579461655,NA,1.02303060147037,NA,NA,1.01136364728502,NA,NA,NA,NA,0.988388908580684,1.05894698077952,1.03879585474145,1.21195202646816,NA

"1951-05-01",1.01476542850991,1.0063585765683,NA,1.00940427561605,1.01225000878969,NA,1.01092619712501,1.02025542417945,NA,NA,1.00588148835455,NA,NA,NA,1.02425860356983,1.0420729949162,1.01978008653632,NA,1.15720753922291,1.01067002346594,NA,NA,NA,NA,NA,1.0047040128908,1.00854176040341,NA,1.02185837548867,1.02236650200123,NA,NA,1.02414778354727,1.00614969281175,1.00554313435214,0.99527666795186,1.02046892195573,1.02631579461655,NA,1.02303060147037,NA,NA,1.01136364728502,NA,NA,NA,NA,0.988388908580684,1.05894698077952,1.03879585474145,1.21195202646816,NA

"1951-06-01",1.02953085701982,1.0127171531366,NA,1.01880855123209,1.02450001757937,NA,1.02185239425001,1.04051084835889,NA,NA,1.01176297670909,NA,NA,NA,1.04851720713967,1.08414598983239,1.03955708577271,NA,1.15720753922291,1.02134004693188,NA,NA,NA,NA,NA,1.0094080257816,1.01708352080681,NA,1.04371675097734,1.04473300400246,NA,NA,1.04829556709454,1.0122993856235,1.01108626870428,0.990553335903719,1.04093784391147,1.05263158923311,NA,1.04606120294073,NA,NA,1.02272729457004,NA,NA,NA,NA,0.976777817161369,1.11789396155903,1.07759170948291,1.21195202646816,NA

"1951-07-01",1.02953085701982,1.0127171531366,NA,1.01880855123209,1.02450001757937,NA,1.02185239425001,1.04051084835889,NA,NA,1.01176297670909,NA,NA,NA,1.04851720713967,1.08414598983239,1.03955708577271,NA,1.17419034582349,1.02134004693188,NA,NA,NA,NA,NA,1.0094080257816,1.01708352080681,NA,1.04371675097734,1.04473300400246,NA,NA,1.04829556709454,1.0122993856235,1.01108626870428,0.990553335903719,1.04093784391147,1.05263158923311,NA,1.04606120294073,NA,NA,1.02272729457004,NA,NA,NA,NA,0.976777817161369,1.11789396155903,1.07759170948291,1.23697270471464,NA

"1951-08-01",1.02953085701982,1.0127171531366,NA,1.01880855123209,1.02450001757937,NA,1.02185239425001,1.04051084835889,NA,NA,1.01176297670909,NA,NA,NA,1.04851720713967,1.08414598983239,1.03955708577271,NA,1.17419034582349,1.02134004693188,NA,NA,NA,NA,NA,1.0094080257816,1.01708352080681,NA,1.04371675097734,1.04473300400246,NA,NA,1.04829556709454,1.0122993856235,1.01108626870428,0.990553335903719,1.04093784391147,1.05263158923311,NA,1.04606120294073,NA,NA,1.02272729457004,NA,NA,NA,NA,0.976777817161369,1.11789396155903,1.07759170948291,1.23697270471464,NA

"1951-09-01",1.04429628552974,1.0190757297049,NA,1.02821282684814,1.03675002636906,NA,1.03277859137502,1.06076627253834,NA,NA,1.01764446506364,NA,NA,NA,1.0727758107095,1.12621898474859,1.0593312765667,NA,1.17419034582349,1.03201007039782,NA,NA,NA,NA,NA,1.01411203867239,1.02562528121022,NA,1.065575126466,1.0670995060037,NA,NA,1.07244335064181,1.01844907843524,1.01662940305643,0.985830003855579,1.0614067658672,1.07894738384966,NA,1.0690918044111,NA,NA,1.03409094185506,NA,NA,NA,NA,0.965166725742053,1.17684094233855,1.11638756422436,1.23697270471464,NA

"1951-10-01",1.04429628552974,1.0190757297049,NA,1.02821282684814,1.03675002636906,NA,1.03277859137502,1.06076627253834,NA,NA,1.01764446506364,NA,NA,NA,1.0727758107095,1.12621898474859,1.0593312765667,NA,1.18563756975887,1.03201007039782,NA,NA,NA,NA,NA,1.01411203867239,1.02562528121022,NA,1.065575126466,1.0670995060037,NA,NA,1.07244335064181,1.01844907843524,1.01662940305643,0.985830003855579,1.0614067658672,1.07894738384966,NA,1.0690918044111,NA,NA,1.03409094185506,NA,NA,NA,NA,0.965166725742053,1.17684094233855,1.11638756422436,1.23966087675765,NA

"1951-11-01",1.04429628552974,1.0190757297049,NA,1.02821282684814,1.03675002636906,NA,1.03277859137502,1.06076627253834,NA,NA,1.01764446506364,NA,NA,NA,1.0727758107095,1.12621898474859,1.0593312765667,NA,1.18563756975887,1.03201007039782,NA,NA,NA,NA,NA,1.01411203867239,1.02562528121022,NA,1.065575126466,1.0670995060037,NA,NA,1.07244335064181,1.01844907843524,1.01662940305643,0.985830003855579,1.0614067658672,1.07894738384966,NA,1.0690918044111,NA,NA,1.03409094185506,NA,NA,NA,NA,0.965166725742053,1.17684094233855,1.11638756422436,1.23966087675765,NA

