				
	VALUE	(多项)		
				
	平均值项:VALUE	列标签		
	行标签	"Government of Canada benchmark bond yields, 5 year"	Overnight money market financing	总计
	1993/8/1	6.315833333	4.195454545	4.760888889
	1993/9/1	6.271428571	4.339714286	4.891632653
	1993/10/1	6.054166667	4.575703125	4.978920455
	1993/11/1	5.955454545	4.143125	4.606744186
	1993/12/1	5.823636364	4.20921875	4.622209302
	1994/1/1	5.521875	3.971875	4.448798077
	1994/2/1	5.842	3.6445	4.193875
	1994/3/1	6.811666667	3.935857143	4.670106383
	1994/4/1	7.623571429	5.576911765	6.173854167
	1994/5/1	8.063125	5.76	6.455283019
	1994/6/1	8.636666667	5.711102941	6.474293478
	1994/7/1	8.818333333	5.612265625	6.486647727
	1994/8/1	8.511538462	5.281714286	6.156458333
	1994/9/1	8.461	5.107580645	5.925487805
	1994/10/1	8.522142857	4.9825	6.014895833
	1994/11/1	8.663636364	5.12890625	6.033139535
	1994/12/1	8.885833333	5.531640625	6.446420455
	1995/1/1	9.206190476	6.598214286	7.902202381
	1995/2/1	8.679	7.85	8.2645
	1995/3/1	8.279130435	8.125	8.202065217
	1995/4/1	8.04	8.064210526	8.052105263
	1995/5/1	7.592727273	7.743636364	7.668181818
	1995/6/1	7.383636364	7.353181818	7.368409091
	1995/7/1	7.593	6.765	7.179
	1995/8/1	7.834545455	6.460909091	7.147727273
	1995/9/1	7.558	6.222	6.89
	1995/10/1	7.346190476	6.244761905	6.79547619
	1995/11/1	7.005238095	6.001428571	6.503333333
	1995/12/1	6.833684211	5.955789474	6.394736842
	1996/1/1	6.5	5.674090909	6.087045455
	1996/2/1	6.536666667	5.269047619	5.902857143
	1996/3/1	6.977142857	5.126666667	6.051904762
	1996/4/1	7.067619048	4.905714286	5.986666667
	1996/5/1	7.060454545	4.785	5.922727273
	1996/6/1	7.096	4.7775	5.93675
	1996/7/1	7.013181818	4.679545455	5.846363636
	1996/8/1	6.55	4.273809524	5.411904762
	1996/9/1	6.5295	4.053	5.29125
	1996/10/1	5.742272727	3.62	4.681136364
	1996/11/1	5.2215	3.1055	4.1635
	1996/12/1	5.472	3.042	4.257
	1997/1/1	5.680909091	3.015454545	4.348181818
	1997/2/1	5.3445	3.01	4.17725
	1997/3/1	5.6765	3.002	4.33925
	1997/4/1	6.066818182	3.020909091	4.543863636
	1997/5/1	5.772380952	3.011428571	4.391904762
	1997/6/1	5.473333333	3.048571429	4.260952381
	1997/7/1	5.293181818	3.245454545	4.269318182
	1997/8/1	5.315	3.29	4.3025
	1997/9/1	5.310952381	3.273333333	4.292142857
	1997/10/1	5.076363636	3.54	4.308181818
	1997/11/1	5.052105263	3.587368421	4.319736842
	1997/12/1	5.376190476	4.052857143	4.71452381
	1998/1/1	5.091904762	4.300952381	4.696428571
	1998/2/1	5.2325	4.7455	4.989
	1998/3/1	5.193181818	4.734545455	4.963863636
	1998/4/1	5.124285714	4.747142857	4.935714286
	1998/5/1	5.2405	4.764	5.00225
	1998/6/1	5.232272727	4.762272727	4.997272727
	1998/7/1	5.293181818	4.775	5.034090909
	1998/8/1	5.5225	4.896	5.20925
	1998/9/1	5.178571429	5.725238095	5.451904762
	1998/10/1	4.649047619	5.401428571	5.025238095
	1998/11/1	4.97	5.1445	5.05725
	1998/12/1	4.718571429	5.040952381	4.879761905
	1999/1/1	4.817	5.0195	4.91825
	1999/2/1	5.0465	4.9945	5.0205
	1999/3/1	5.160434783	5.010869565	5.085652174
	1999/4/1	4.873333333	4.801428571	4.837380952
	1999/5/1	5.194	4.6135	4.90375
	1999/6/1	5.495	4.596818182	5.045909091
	1999/7/1	5.406190476	4.602857143	5.00452381
	1999/8/1	5.698095238	4.63	5.164047619
	1999/9/1	5.63047619	4.601428571	5.115952381
	1999/10/1	6.0185	4.592	5.30525
	1999/11/1	5.982857143	4.676190476	5.32952381
	1999/12/1	6.105238095	4.763809524	5.43452381
	2000/1/1	6.432	4.7665	5.59925
	2000/2/1	6.389047619	4.966190476	5.677619048
	2000/3/1	6.121304348	5.080434783	5.600869565
	2000/4/1	5.994210526	5.255263158	5.624736842
	2000/5/1	6.351363636	5.481818182	5.916590909
	2000/6/1	6.032272727	5.747727273	5.89
	2000/7/1	5.984	5.733	5.8585
	2000/8/1	5.922727273	5.746363636	5.834545455
	2000/9/1	5.7695	5.7525	5.761
	2000/10/1	5.746666667	5.759047619	5.752857143
	2000/11/1	5.791904762	5.747619048	5.769761905
	2000/12/1	5.397894737	5.75	5.573947368
	2001/1/1	5.216363636	5.663636364	5.44
	2001/2/1	5.1855	5.4925	5.339
	2001/3/1	4.980909091	5.0619	5.021404545
	2001/4/1	5.1825	4.86528	5.02389
	2001/5/1	5.455454545	4.707777273	5.081615909
	2001/6/1	5.354761905	4.492319048	4.923540476
	2001/7/1	5.425714286	4.360309524	4.893011905
	2001/8/1	5.112727273	4.195218182	4.653972727
	2001/9/1	4.672631579	3.727078947	4.199855263
	2001/10/1	4.463636364	3.252540909	3.858088636
	2001/11/1	4.414761905	2.645	3.529880952
	2001/12/1	4.672105263	2.241305263	3.456705263
	2002/1/1	4.583181818	2.094577273	3.338879545
	2002/2/1	4.6195	1.995595	3.3075475
	2002/3/1	5.095	1.993885	3.5444425
	2002/4/1	5.091363636	2.1184	3.604881818
	2002/5/1	4.986363636	2.246663636	3.616513636
	2002/6/1	4.791	2.48379	3.637395
	2002/7/1	4.490454545	2.631222727	3.560838636
	2002/8/1	4.276666667	2.743661905	3.510164286
	2002/9/1	4.173	2.745535	3.4592675
	2002/10/1	4.368636364	2.744959091	3.556797727
	2002/11/1	4.274	2.744615	3.5093075
	2002/12/1	4.165	2.743	3.454
	2003/1/1	4.145454545	2.743704545	3.444579545
	2003/2/1	4.2645	2.74527	3.504885
	2003/3/1	4.316190476	2.982509524	3.64935
	2003/4/1	4.357619048	3.124442857	3.741030952
	2003/5/1	3.935714286	3.240985714	3.58835
	2003/6/1	3.471428571	3.24392381	3.35767619
	2003/7/1	3.746363636	3.098631818	3.422497727
	2003/8/1	3.895	2.9977	3.44635
	2003/9/1	3.990952381	2.759547619	3.37525
	2003/10/1	4.039090909	2.748904545	3.393997727
	2003/11/1	4.118947368	2.748131579	3.433539474
	2003/12/1	3.995238095	2.74817619	3.371707143
	2004/1/1	3.755238095	2.6397	3.197469048
	2004/2/1	3.528	2.495875	3.0119375
	2004/3/1	3.316521739	2.25863913	2.787580435
	2004/4/1	3.694761905	2.080366667	2.887564286
	2004/5/1	3.911	1.99798	2.95449
	2004/6/1	4.176363636	1.999209091	3.087786364
	2004/7/1	3.984761905	1.998361905	2.991561905
	2004/8/1	3.822857143	1.998752381	2.910804762
	2004/9/1	4.012857143	2.20042381	3.106640476
	2004/10/1	3.956	2.35929	3.157645
	2004/11/1	3.901428571	2.496290476	3.198859524
	2004/12/1	3.646666667	2.498747619	3.072707143
	2005/1/1	3.6255	2.49787	3.061685
	2005/2/1	3.5755	2.495715	3.0356075
	2005/3/1	3.749545455	2.486218182	3.117881818
	2005/4/1	3.585238095	2.492714286	3.03897619
	2005/5/1	3.49	2.490571429	2.990285714
	2005/6/1	3.222272727	2.493213636	2.857743182
	2005/7/1	3.3495	2.493535	2.9215175
	2005/8/1	3.411363636	2.490740909	2.951052273
	2005/9/1	3.471428571	2.706419048	3.08892381
	2005/10/1	3.726	2.863295	3.2946475
	2005/11/1	3.888095238	2.986214286	3.437154762
	2005/12/1	3.92	3.197755	3.5588775
	2006/1/1	3.911904762	3.303252381	3.607578571
	2006/2/1	4.08	3.476605	3.7783025
	2006/3/1	4.097826087	3.654778261	3.876302174
	2006/4/1	4.278421053	3.789521053	4.033971053
	2006/5/1	4.253181818	4.0283	4.140740909
	2006/6/1	4.335454545	4.235590909	4.285522727
	2006/7/1	4.3175	4.24363	4.280565
	2006/8/1	4.133636364	4.224177273	4.178906818
	2006/9/1	3.965	4.24365	4.104325
	2006/10/1	4.011904762	4.238490476	4.125197619
	2006/11/1	3.91047619	4.249547619	4.080011905
	2006/12/1	3.865789474	4.253321053	4.059555263
	2007/1/1	4.027727273	4.243413636	4.135570455
	2007/2/1	4.0415	4.235035	4.1382675
	2007/3/1	3.946818182	4.230009091	4.088413636
	2007/4/1	4.105	4.25083	4.177915
	2007/5/1	4.29	4.236795455	4.263397727
	2007/6/1	4.643333333	4.250495238	4.446914286
