"REF_DATE","GEO","DGUID","Type of credit","Seasonal adjustment","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1985-04","Canada","2016A000011124","Other business credit","Seasonally adjusted","Dollars","81","millions","6","v36419","1.6.2","143098","","","","0"
"1985-04","Canada","2016A000011124","Short-term business credit","Unadjusted","Dollars","81","millions","6","v36413","1.7.1","144394","","","","0"
"1985-04","Canada","2016A000011124","Short-term business credit","Seasonally adjusted","Dollars","81","millions","6","v36420","1.7.2","143040","","","","0"
"1985-05","Canada","2016A000011124","Total business and household credit","Unadjusted","Dollars","81","millions","6","v36407","1.1.1","467237","","","","0"
"1985-05","Canada","2016A000011124","Total business and household credit","Seasonally adjusted","Dollars","81","millions","6","v36414","1.1.2","467016","","","","0"
"1985-05","Canada","2016A000011124","Household credit","Unadjusted","Dollars","81","millions","6","v36408","1.2.1","169379","","","","0"
"1985-05","Canada","2016A000011124","Household credit","Seasonally adjusted","Dollars","81","millions","6","v36415","1.2.2","170072","","","","0"
"1985-05","Canada","2016A000011124","Residential mortgage credit","Unadjusted","Dollars","81","millions","6","v36409","1.3.1","113472","","","","0"
"1985-05","Canada","2016A000011124","Residential mortgage credit","Seasonally adjusted","Dollars","81","millions","6","v36416","1.3.2","113818","","","","0"
"1985-05","Canada","2016A000011124","Consumer credit","Unadjusted","Dollars","81","millions","6","v36410","1.4.1","55907","","","","0"
"1985-05","Canada","2016A000011124","Consumer credit","Seasonally adjusted","Dollars","81","millions","6","v36417","1.4.2","56254","","","","0"
"1985-05","Canada","2016A000011124","Business credit","Unadjusted","Dollars","81","millions","6","v36411","1.5.1","297859","","","","0"
"1985-05","Canada","2016A000011124","Business credit","Seasonally adjusted","Dollars","81","millions","6","v36418","1.5.2","296945","","","","0"
"1985-05","Canada","2016A000011124","Other business credit","Unadjusted","Dollars","81","millions","6","v36412","1.6.1","144475","","","","0"
"1985-05","Canada","2016A000011124","Other business credit","Seasonally adjusted","Dollars","81","millions","6","v36419","1.6.2","144475","","","","0"
"1985-05","Canada","2016A000011124","Short-term business credit","Unadjusted","Dollars","81","millions","6","v36413","1.7.1","143646","","","","0"
"1985-05","Canada","2016A000011124","Short-term business credit","Seasonally adjusted","Dollars","81","millions","6","v36420","1.7.2","142816","","","","0"
"1985-06","Canada","2016A000011124","Total business and household credit","Unadjusted","Dollars","81","millions","6","v36407","1.1.1","470129","","","","0"
"1985-06","Canada","2016A000011124","Total business and household credit","Seasonally adjusted","Dollars","81","millions","6","v36414","1.1.2","469723","","","","0"
"1985-06","Canada","2016A000011124","Household credit","Unadjusted","Dollars","81","millions","6","v36408","1.2.1","171019","","","","0"
"1985-06","Canada","2016A000011124","Household credit","Seasonally adjusted","Dollars","81","millions","6","v36415","1.2.2","171287","","","","0"
"1985-06","Canada","2016A000011124","Residential mortgage credit","Unadjusted","Dollars","81","millions","6","v36409","1.3.1","114349","","","","0"
"1985-06","Canada","2016A000011124","Residential mortgage credit","Seasonally adjusted","Dollars","81","millions","6","v36416","1.3.2","114513","","","","0"
"1985-06","Canada","2016A000011124","Consumer credit","Unadjusted","Dollars","81","millions","6","v36410","1.4.1","56670","","","","0"
"1985-06","Canada","2016A000011124","Consumer credit","Seasonally adjusted","Dollars","81","millions","6","v36417","1.4.2","56774","","","","0"
"1985-06","Canada","2016A000011124","Business credit","Unadjusted","Dollars","81","millions","6","v36411","1.5.1","299112","","","","0"
"1985-06","Canada","2016A000011124","Business credit","Seasonally adjusted","Dollars","81","millions","6","v36418","1.5.2","298438","","","","0"
"1985-06","Canada","2016A000011124","Other business credit","Unadjusted","Dollars","81","millions","6","v36412","1.6.1","146070","","","","0"
"1985-06","Canada","2016A000011124","Other business credit","Seasonally adjusted","Dollars","81","millions","6","v36419","1.6.2","146070","","","","0"
"1985-06","Canada","2016A000011124","Short-term business credit","Unadjusted","Dollars","81","millions","6","v36413","1.7.1","143531","","","","0"
"1985-06","Canada","2016A000011124","Short-term business credit","Seasonally adjusted","Dollars","81","millions","6","v36420","1.7.2","143071","","","","0"
"1985-07","Canada","2016A000011124","Total business and household credit","Unadjusted","Dollars","81","millions","6","v36407","1.1.1","474415","","","","0"
"1985-07","Canada","2016A000011124","Total business and household credit","Seasonally adjusted","Dollars","81","millions","6","v36414","1.1.2","473110","","","","0"
"1985-07","Canada","2016A000011124","Household credit","Unadjusted","Dollars","81","millions","6","v36408","1.2.1","172732","","","","0"
"1985-07","Canada","2016A000011124","Household credit","Seasonally adjusted","Dollars","81","millions","6","v36415","1.2.2","172534","","","","0"
"1985-07","Canada","2016A000011124","Residential mortgage credit","Unadjusted","Dollars","81","millions","6","v36409","1.3.1","115576","","","","0"
"1985-07","Canada","2016A000011124","Residential mortgage credit","Seasonally adjusted","Dollars","81","millions","6","v36416","1.3.2","115332","","","","0"
