Read,Visible,id,Ticker,Load_Fn,FunctionArgs,Location,Country,Concept,Name,sub1,sub2,sub3,sub4,sub5,seas,Version,Description,Freq
TRUE,FALSE,s_34,USA_PMI_KFED_MANU_PROD_EXP6M_1_SA,haver,KC6OA@SURVEYS,,USA,PMI,PMI,KFED,MANU,PROD,,EXP6M,SA,,,M

TRUE,FALSE,s_35,USA_PMI_KFED_MANU_BACKLOG_EXP6M_1_SA,haver,KC6BXA@SURVEYS,,USA,PMI,PMI,KFED,MANU,BACKLOG,,EXP6M,SA,,,M

TRUE,FALSE,s_36,USA_PMI_KFED_MANU_EMPLWK_EXP6M_1_SA,haver,KC6WXA@SURVEYS,,USA,PMI,PMI,KFED,MANU,EMPLWK,,EXP6M,SA,,,M

TRUE,FALSE,s_37,USA_PMI_KFED_MANU_PRICES_REC_EXP6M_1_SA,haver,KC6PIRA@SURVEYS,,USA,PMI,PMI,KFED,MANU,PRICES,REC,EXP6M,SA,,,M

TRUE,FALSE,s_38,USA_PMI_KFED_MANU_PRICES_PAID_EXP6M_1_SA,haver,KC6PIPA@SURVEYS,,USA,PMI,PMI,KFED,MANU,PRICES,PAID,EXP6M,SA,,,M

TRUE,FALSE,s_39,USA_PMI_KFED_MANU_CAPEX_EXP6M_1_SA,haver,KC6CXNA@SURVEYS,,USA,PMI,PMI,KFED,MANU,CAPEX,,EXP6M,SA,,,M

TRUE,FALSE,s_40,USA_PMI_KFED_MANU_NO_EXPORTS_EXP6M_1_SA,haver,KC6NXEA@SURVEYS,,USA,PMI,PMI,KFED,MANU,NO,EXPORTS,EXP6M,SA,,,M

TRUE,FALSE,s_41,USA_PMI_KFED_MANU_FIN_INV_EXP6M_1_SA,haver,KC6GDSNA@SURVEYS,,USA,PMI,PMI,KFED,MANU,FIN,INV,EXP6M,SA,,,M

TRUE,FALSE,s_42,USA_PMI_NYFED_MANU_CUR_1_SA,haver,EMGI@SURVEYS,,USA,PMI,PMI,NYFED,MANU,,,CUR,SA,,,M

TRUE,FALSE,s_43,USA_PMI_NYFED_MANU_NO_CUR_1_SA,haver,EMNI@SURVEYS,,USA,PMI,PMI,NYFED,MANU,NO,,CUR,SA,,,M

TRUE,FALSE,s_44,USA_PMI_NYFED_MANU_SHIP_CUR_1_SA,haver,EMSI@SURVEYS,,USA,PMI,PMI,NYFED,MANU,SHIP,,CUR,SA,,,M

TRUE,FALSE,s_45,USA_PMI_NYFED_MANU_UNFILLED_ORDERS_CUR_1_SA,haver,EMUI@SURVEYS,,USA,PMI,PMI,NYFED,MANU,UNFILLED,ORDERS,CUR,SA,,,M

TRUE,FALSE,s_46,USA_PMI_NYFED_MANU_DELIV_CUR_1_SA,haver,EMDI@SURVEYS,,USA,PMI,PMI,NYFED,MANU,DELIV,,CUR,SA,,,M

TRUE,FALSE,s_47,USA_PMI_NYFED_MANU_INV_CUR_1_SA,haver,EMII@SURVEYS,,USA,PMI,PMI,NYFED,MANU,INV,,CUR,SA,,,M

TRUE,FALSE,s_48,USA_PMI_NYFED_MANU_PRICES_PAID_CUR_1_SA,haver,EMPI@SURVEYS,,USA,PMI,PMI,NYFED,MANU,PRICES,PAID,CUR,SA,,,M

TRUE,FALSE,s_49,USA_PMI_NYFED_MANU_PRICES_REC_CUR_1_SA,haver,EMRI@SURVEYS,,USA,PMI,PMI,NYFED,MANU,PRICES,REC,CUR,SA,,,M

TRUE,FALSE,s_50,USA_PMI_NYFED_MANU_EMPL_CUR_1_SA,haver,EMEI@SURVEYS,,USA,PMI,PMI,NYFED,MANU,EMPL,,CUR,SA,,,M

TRUE,FALSE,s_51,USA_PMI_NYFED_MANU_EMPLWK_CUR_1_SA,haver,EMWI@SURVEYS,,USA,PMI,PMI,NYFED,MANU,EMPLWK,,CUR,SA,,,M

TRUE,FALSE,s_52,USA_PMI_NYFED_MANU_EXP6M_1_SA,haver,EM6GI@SURVEYS,,USA,PMI,PMI,NYFED,MANU,,,EXP6M,SA,,,M

TRUE,FALSE,s_53,USA_PMI_NYFED_MANU_NO_EXP6M_1_SA,haver,EM6NI@SURVEYS,,USA,PMI,PMI,NYFED,MANU,NO,,EXP6M,SA,,,M

TRUE,FALSE,s_54,USA_PMI_NYFED_MANU_SHIP_EXP6M_1_SA,haver,EM6SI@SURVEYS,,USA,PMI,PMI,NYFED,MANU,SHIP,,EXP6M,SA,,,M

TRUE,FALSE,s_55,USA_PMI_NYFED_MANU_UNFILLED_ORDERS_EXP6M_1_SA,haver,EM6UI@SURVEYS,,USA,PMI,PMI,NYFED,MANU,UNFILLED,ORDERS,EXP6M,SA,,,M

TRUE,FALSE,s_56,USA_PMI_NYFED_MANU_DELIV_EXP6M_1_SA,haver,EM6DI@SURVEYS,,USA,PMI,PMI,NYFED,MANU,DELIV,,EXP6M,SA,,,M

TRUE,FALSE,s_57,USA_PMI_NYFED_MANU_INV_EXP6M_1_SA,haver,EM6II@SURVEYS,,USA,PMI,PMI,NYFED,MANU,INV,,EXP6M,SA,,,M

TRUE,FALSE,s_58,USA_PMI_NYFED_MANU_PRICES_PAID_EXP6M_1_SA,haver,EM6PI@SURVEYS,,USA,PMI,PMI,NYFED,MANU,PRICES,PAID,EXP6M,SA,,,M

TRUE,FALSE,s_59,USA_PMI_NYFED_MANU_PRICES_REC_EXP6M_1_SA,haver,EM6RI@SURVEYS,,USA,PMI,PMI,NYFED,MANU,PRICES,REC,EXP6M,SA,,,M

TRUE,FALSE,s_60,USA_PMI_NYFED_MANU_EMPL_EXP6M_1_SA,haver,EM6EI@SURVEYS,,USA,PMI,PMI,NYFED,MANU,EMPL,,EXP6M,SA,,,M

TRUE,FALSE,s_61,USA_PMI_NYFED_MANU_EMPLWK_EXP6M_1_SA,haver,EM6WI@SURVEYS,,USA,PMI,PMI,NYFED,MANU,EMPLWK,,EXP6M,SA,,,M

TRUE,FALSE,s_62,USA_PMI_NYFED_MANU_CAPEX_EXP6M_1_SA,haver,EM6CI@SURVEYS,,USA,PMI,PMI,NYFED,MANU,CAPEX,,EXP6M,SA,,,M

TRUE,FALSE,s_63,USA_PMI_NYFED_MANU_TECHEXP_EXP6M_1_SA,haver,EM6TI@SURVEYS,,USA,PMI,PMI,NYFED,MANU,TECHEXP,,EXP6M,SA,,,M

TRUE,FALSE,s_64,USA_PMI_PFED_MANU_CUR_1_SA,haver,BOCGX@SURVEYS,,USA,PMI,PMI,PFED,MANU,,,CUR,SA,,,M

TRUE,FALSE,s_65,USA_PMI_PFED_MANU_NO_CUR_1_SA,haver,BOCNOX@SURVEYS,,USA,PMI,PMI,PFED,MANU,NO,,CUR,SA,,,M

TRUE,FALSE,s_66,USA_PMI_PFED_MANU_SHIP_CUR_1_SA,haver,BOCSHX@SURVEYS,,USA,PMI,PMI,PFED,MANU,SHIP,,CUR,SA,,,M

TRUE,FALSE,s_67,USA_PMI_PFED_MANU_UNFILLED_ORDERS_CUR_1_SA,haver,BOCUOX@SURVEYS,,USA,PMI,PMI,PFED,MANU,UNFILLED,ORDERS,CUR,SA,,,M

TRUE,FALSE,s_68,USA_PMI_PFED_MANU_DELIV_CUR_1_SA,haver,BOCDTX@SURVEYS,,USA,PMI,PMI,PFED,MANU,DELIV,,CUR,SA,,,M

TRUE,FALSE,s_69,USA_PMI_PFED_MANU_INV_CUR_1_SA,haver,BOCIVX@SURVEYS,,USA,PMI,PMI,PFED,MANU,INV,,CUR,SA,,,M

TRUE,FALSE,s_70,USA_PMI_PFED_MANU_PRICES_PAID_CUR_1_SA,haver,BOCPPX@SURVEYS,,USA,PMI,PMI,PFED,MANU,PRICES,PAID,CUR,SA,,,M

TRUE,FALSE,s_71,USA_PMI_PFED_MANU_PRICES_REC_CUR_1_SA,haver,BOCPRX@SURVEYS,,USA,PMI,PMI,PFED,MANU,PRICES,REC,CUR,SA,,,M

TRUE,FALSE,s_72,USA_PMI_PFED_MANU_EMPL_CUR_1_SA,haver,BOCNEX@SURVEYS,,USA,PMI,PMI,PFED,MANU,EMPL,,CUR,SA,,,M

TRUE,FALSE,s_73,USA_PMI_PFED_MANU_EMPLWK_CUR_1_SA,haver,BOCAWX@SURVEYS,,USA,PMI,PMI,PFED,MANU,EMPLWK,,CUR,SA,,,M

TRUE,FALSE,s_74,USA_PMI_PFED_MANU_EXP6M_1_SA,haver,BOFGX@SURVEYS,,USA,PMI,PMI,PFED,MANU,,,EXP6M,SA,,,M

TRUE,FALSE,s_75,USA_PMI_PFED_MANU_NO_EXP6M_1_SA,haver,BOFNOX@SURVEYS,,USA,PMI,PMI,PFED,MANU,NO,,EXP6M,SA,,,M

TRUE,FALSE,s_76,USA_PMI_PFED_MANU_SHIP_EXP6M_1_SA,haver,BOFSHX@SURVEYS,,USA,PMI,PMI,PFED,MANU,SHIP,,EXP6M,SA,,,M

