Read,Visible,id,Ticker,Function,series1,series2,func_args,series1_start_date,series1_end_date,series1_factor,series1_shift,series2_start_date,series2_end_date,series2_factor,series2_shift
TRUE,TRUE,t_14897,MEX_IP_SA,seasonaladjustx13,MEX_IP_1_NSA,,,,,,,,,,

TRUE,TRUE,t_14898,CHL_IP_SA,seasonaladjustx13,CHL_IP_1_NSA,,,,,,,,,,

TRUE,TRUE,t_14943,KOR_AUTO_SALES_PASSENGER_LOC_NSA,name,KOR_AUTO_SALES_PASSENGER_LOC_1_NSA,,,,,,,,,,

TRUE,TRUE,t_14944,KOR_RSALES_NOM_FUEL_LOC_NSA,name,KOR_RSALES_NOM_FUEL_LOC_1_NSA,,,,,,,,,,

TRUE,TRUE,t_14945,KOR_RSALES_NOM_AUTO_FUELS_LOC_NSA,sum,KOR_AUTO_SALES_PASSENGER_LOC_1_NSA,KOR_RSALES_NOM_FUEL_LOC_1_NSA,,,,,,,,,

TRUE,TRUE,t_14946,KOR_RSALES_NOM_LOC_NSA,name,KOR_RSALES_NOM_LOC_1_NSA,,,,,,,,,,

TRUE,TRUE,t_14947,KOR_RSALES_NOM_EX_AUTO_FUELS_LOC_NSA,subtract,KOR_RSALES_NOM_LOC_1_NSA,KOR_RSALES_NOM_AUTO_FUELS_LOC_NSA,,,,,,,,,

TRUE,TRUE,t_14948,KOR_RSALES_NOM_EX_AUTO_FUELS_LOC_SA,seasonaladjustx13,KOR_RSALES_NOM_EX_AUTO_FUELS_LOC_NSA,,,,,,,,,,

TRUE,FALSE,t_14949,HKG_RSALES_NOM_FUEL_LOC_NSA,name,HKG_RSALES_NOM_FUEL_LOC_1_NSA,,,,,,,,,,

TRUE,TRUE,t_14950,HKG_AUTO_SALES_PLUS_PARTS_LOC_SA,seasonaladjustx13,HKG_AUTO_SALES_PLUS_PARTS_LOC_1_NSA,,,,,,,,,,

TRUE,FALSE,t_14951,HKG_RSALES_NOM_AUTO_FUELS_LOC_NSA,sum,HKG_RSALES_NOM_FUEL_LOC_1_NSA,HKG_AUTO_SALES_PLUS_PARTS_LOC_1_NSA,,,,,,,,,

TRUE,FALSE,t_14952,HKG_RSALES_NOM_EX_AUTO_FUELS_LOC_NSA,subtract,HKG_RSALES_NOM_INC_AUTO_LOC_1_NSA,HKG_RSALES_NOM_AUTO_FUELS_LOC_NSA,,,,,,,,,

TRUE,TRUE,t_14953,HKG_RSALES_NOM_EX_AUTO_FUELS_LOC_SA,seasonaladjustx13,HKG_RSALES_NOM_EX_AUTO_FUELS_LOC_NSA,,,,,,,,,,

TRUE,TRUE,t_14954,HKG_RSALES_REAL_INDEX_SA,name,HKG_RSALES_REAL_INDEX_1_SA,,,,,,,,,,

TRUE,TRUE,t_14955,THA_AUTO_SALES_UNITS_SA,name,THA_AUTO_SALES_UNITS_1_SA,,,,,,,,,,

TRUE,TRUE,t_14956,THA_AUTO_SALES_PASSENGER_UNITS_NSA,name,THA_AUTO_SALES_PASSENGER_UNITS_1_NSA,,,,,,,,,,

TRUE,TRUE,t_14957,THA_RSALES_NOM_FUEL_INDEX_NSA,name,THA_RSALES_NOM_FUEL_INDEX_1_NSA,,,,,,,,,,

TRUE,TRUE,t_14958,CZE_RSALES_NOM_EX_AUTO_FUELS_INDEX_SA,name,CZE_RSALES_NOM_EX_AUTO_FUELS_INDEX_1_SA,,,,,,,,,,

TRUE,TRUE,t_7152,HUN_RSALES_NOM_EX_AUTO_LOC_NSA,name,HUN_RSALES_NOM_EX_AUTO_LOC_1_NSA,,,,,,,,,,

TRUE,TRUE,t_7153,HUN_RSALES_NOM_EX_AUTO_LOC_SA,seasonaladjustx13,HUN_RSALES_NOM_EX_AUTO_LOC_1_NSA,,,,,,,,,,

TRUE,TRUE,t_14959,HUN_RSALES_NOM_AUTO_FUELS_LOC_NSA,name,HUN_AUTO_SALES_PLUS_PARTS_LOC_1_NSA,,,,,,,,,,

TRUE,TRUE,t_14960,HUN_AUTO_SALES_PLUS_PARTS_LOC_SA,seasonaladjustx13,HUN_AUTO_SALES_PLUS_PARTS_LOC_1_NSA,,,,,,,,,,

TRUE,TRUE,t_14961,HUN_RSALES_NOM_EX_AUTO_FUELS_LOC_SA,subtract,HUN_RSALES_NOM_EX_AUTO_LOC_SA,HUN_AUTO_SALES_PLUS_PARTS_LOC_SA,,,,,,,,,

TRUE,TRUE,t_15229,RUS_BUS_CONF_OBAL_NSA,name,RUS_BUS_CONF_OBAL_1_NSA,,,,,,,,,,

TRUE,TRUE,t_15229,RUS_BUS_CONF_OBAL_SA,seasonaladjustx13,RUS_BUS_CONF_OBAL_1_NSA,,,,,,,,,,

TRUE,TRUE,t_14932,SGP_RSALES_REAL_SA,name,SGP_RSALES_REAL_1_SA,,,,,,,,,,

TRUE,TRUE,t_14933,SGP_RSALES_REAL_EX_AUTO_SA,name,SGP_RSALES_REAL_EX_AUTO_1_SA,,,,,,,,,,

TRUE,TRUE,t_14934,MAL_RSALES_REAL_EX_AUTO_SA,name,MAL_RSALES_REAL_EX_AUTO_1_SA,,,,,,,,,,

TRUE,TRUE,t_14935,MAL_RSALES_NOM_EX_AUTO_MIL_LOC_NSA,name,MAL_RSALES_NOM_EX_AUTO_MIL_LOC_1_NSA,,,,,,,,,,

TRUE,TRUE,t_14936,AUS_RSALES_REAL_SA,name,AUS_RSALES_REAL_1_SA,,,,,,,,,,

TRUE,TRUE,t_14937,SGP_RSALES_NOM_EX_AUTO_INDEX_SA,name,SGP_RSALES_NOM_EX_AUTO_INDEX_1_SA,,,,,,,,,,

TRUE,TRUE,t_14938,AUS_AUTO_SALES_UNITS_SA,name,AUS_AUTO_SALES_UNITS_1_SA,,,,,,,,,,

TRUE,TRUE,t_14939,AUS_AUTO_SALES_PASSENGER_UNITS_SA,name,AUS_AUTO_SALES_PASSENGER_UNITS_1_SA,,,,,,,,,,

TRUE,TRUE,t_14940,MAL_AUTO_SALES_UNITS_SA,name,MAL_AUTO_SALES_UNITS_1_SA,,,,,,,,,,

